magic,version,size,sequence,dropped_records,timestamp_us,tick_ms,imu_sequence,raw_temperature,raw_accel_x,raw_accel_y,raw_accel_z,raw_gyro_x,raw_gyro_y,raw_gyro_z,temperature_c,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,roll_deg,pitch_deg,yaw_deg,rc_ch1_us,rc_ch2_us,rc_ch3_us,rc_ch4_us,rc_ch5_us,rc_ch6_us,rc_ch7_us,rc_ch8_us,throttle_us,servo_alpha_us,servo_beta_us,motor_upper_us,motor_lower_us,rc_armed,rc_link_ok,throttle_over_20,imu_valid,motor_output_reason,rc_link_seen,arm_switch_high,arm_throttle_low,arm_switch_seen_low,arm_switch_prev_high,imu_fault_latched,imu_fault_reason,motor_output_reason_name,acc_nav_m_s2_0,acc_nav_m_s2_1,acc_nav_m_s2_2,vel_est_m_s_0,vel_est_m_s_1,vel_est_m_s_2,vel_ref_m_s_0,vel_ref_m_s_1,vel_err_m_s_0,vel_err_m_s_1,vel_pid_out_m_s2_0,vel_pid_out_m_s2_1,vel_pid_p_m_s2_0,vel_pid_p_m_s2_1,vel_pid_i_m_s2_0,vel_pid_i_m_s2_1,vel_pid_d_m_s2_0,vel_pid_d_m_s2_1,vel_loop_active,ctrl_pos_p_m_s2_0,ctrl_pos_p_m_s2_1,ctrl_pos_p_m_s2_2,ctrl_vel_d_m_s2_0,ctrl_vel_d_m_s2_1,ctrl_vel_d_m_s2_2,ctrl_accel_out_m_s2_0,ctrl_accel_out_m_s2_1,ctrl_accel_out_m_s2_2,ctrl_force_cmd_n_0,ctrl_force_cmd_n_1,ctrl_force_cmd_n_2,ctrl_tilt_ff_rad_0,ctrl_tilt_ff_rad_1,ctrl_tilt_angle_p_rad_0,ctrl_tilt_angle_p_rad_1,ctrl_tilt_rate_d_rad_0,ctrl_tilt_rate_d_rad_1,ctrl_tilt_out_rad_0,ctrl_tilt_out_rad_1,ctrl_yaw_angle_p_rad_s,ctrl_yaw_rate_d_rad_s,ctrl_yaw_torque_cmd,ctrl_total_force_n,ctrl_motor_thrust_cmd_n_0,ctrl_motor_thrust_cmd_n_1,ctrl_motor_cmd_us_0,ctrl_motor_cmd_us_1,z_ref_m,record_crc32,sector_seq,sector_index
827477062,2,320,27421,8712,409307674,409308,403127,526,8714,7997,1457,34,-46,404,29.109375,-0.03921569511294365,0.1112329363822937,0.9505839943885803,-8.583019256591797,2.643460988998413,-6.588689804077148,2.5410561561584473,0.758728563785553,2.9037156105041504,1500,1500,1330,1500,2000,1000,1000,1000,1377,1496,1502,1622,1580,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,-0.011165238916873932,-0.3831661343574524,-0.19118806719779968,0.0026764501817524433,0.004388491157442331,-0.544818639755249,0.0,0.0,-0.0026764501817524433,-0.004388491157442331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17715886235237122,-0.0,-0.0,-0.0,0.0,0.0,3.111358880996704,0.20866110920906067,0.7024806141853333,8.03113079071045,0.02597569301724434,-0.0872473493218422,0.0,0.0,-0.028581006452441216,0.09279929101467133,-0.0026053134351968765,0.005551941692829132,-0.1591559499502182,0.017249150201678276,-4.96673455927521e-05,8.031282424926758,4.263978004455566,3.7673044204711914,1622.0,1580.0,0.0,1078936533,20283,940
827477062,2,320,27422,8712,409311710,409312,403131,514,-9965,8730,-768,-183,-237,-42,29.015625,0.06530168652534485,-0.10540446639060974,1.049648404121399,-2.918046474456787,0.8818285465240479,-2.261545419692993,2.310335397720337,0.7663429379463196,2.898630142211914,1500,1500,1332,1500,2000,1000,1000,1000,1379,1531,1489,1626,1580,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,0.02841472253203392,0.3059436082839966,-0.2348749339580536,0.002612752839922905,0.0047153327614068985,-0.5450781583786011,0.0,0.0,-0.002612752839922905,-0.0047153327614068985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17715886235237122,-0.0,-0.0,-0.0,0.0,0.0,3.076838731765747,0.21381132304668427,0.645318865776062,8.072975158691406,0.026478633284568787,-0.07975462079048157,0.0,0.0,-0.009484879672527313,0.03138628229498863,0.016993753612041473,-0.048368338495492935,-0.15888966619968414,0.005920712370425463,-5.35390863660723e-05,8.08359432220459,4.309492588043213,3.774101495742798,1626.0,1580.0,0.0,2259981310,20283,940
827477062,2,320,27423,8712,409315744,409316,403135,534,4625,6952,2105,-56,-242,420,29.171875,-0.033430662006139755,0.26046690344810486,0.9449430704116821,-7.893254280090332,3.547658681869507,-9.004534721374512,2.5846571922302246,0.7851242423057556,2.864326000213623,1500,1500,1332,1500,2000,1000,1000,1000,1379,1502,1507,1623,1582,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,0.03044498711824417,-0.3927665650844574,-0.23074693977832794,0.002715188777074218,0.004032432567328215,-0.5455701947212219,0.0,0.0,-0.002715188777074218,-0.004032432567328215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17603591084480286,-0.0,-0.0,-0.0,0.0,0.0,3.0757157802581787,0.214389830827713,0.7155442833900452,8.073559761047363,0.026548320427536964,-0.08839120715856552,0.0,0.0,-0.038155581802129745,0.08489308506250381,-0.011607261374592781,-0.0034981220960617065,-0.15709352493286133,0.023573817685246468,-4.673193325288594e-05,8.074152946472168,4.270736217498779,3.8034169673919678,1623.0,1582.0,0.0,4135336666,20283,940
827477062,2,320,27424,8712,409319775,409320,403139,524,-4040,9600,677,-106,-26,-30,29.09375,0.03737076371908188,-0.2671380639076233,1.0589255094528198,-4.10630989074707,-0.11245501041412354,-0.5626370310783386,2.3710052967071533,0.7857035994529724,2.854322910308838,1500,1500,1334,1500,2000,1000,1000,1000,1381,1524,1482,1628,1581,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,0.040875665843486786,0.2952311635017395,-0.2530876398086548,0.002763853408396244,0.003967067692428827,-0.5459248423576355,0.0,0.0,-0.002763853408396244,-0.003967067692428827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17603591084480286,-0.0,-0.0,-0.0,0.0,0.0,3.041195869445801,0.22116002440452576,0.6616635322570801,8.115394592285156,0.02724516950547695,-0.0813191831111908,0.0,0.0,0.0012032350059598684,0.043936289846897125,0.028448404744267464,-0.03738289326429367,-0.15656974911689758,0.00147298036608845,-5.4283911595121026e-05,8.124356269836426,4.333597660064697,3.7907586097717285,1628.0,1581.0,0.0,715630780,20283,940
827477062,2,320,27425,8712,409323807,409324,403143,546,110,6630,2509,-71,-326,403,29.265625,-0.019284382462501526,0.3572339415550232,0.9578307867050171,-6.808714866638184,3.6935999393463135,-9.044055938720703,2.606257200241089,0.8088585734367371,2.8270010948181152,1500,1500,1334,1500,2000,1000,1000,1000,1381,1510,1508,1624,1585,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,0.054101746529340744,-0.33222782611846924,-0.26804640889167786,0.0029905522242188454,0.003847531508654356,-0.546515703201294,0.0,0.0,-0.0029905522242188454,-0.003847531508654356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17603591084480286,-0.0,-0.0,-0.0,0.0,0.0,3.041195869445801,0.2214697003364563,0.7249774932861328,8.114607810974121,0.027285942807793617,-0.08909905701875687,0.0,0.0,-0.039524249732494354,0.0728582814335823,-0.012238306924700737,-0.01624077558517456,-0.15513917803764343,0.02367728389799595,-4.6011642552912235e-05,8.116286277770996,4.288201332092285,3.828084945678711,1624.0,1585.0,0.0,27442,20283,940
827477062,2,320,27426,8712,409327840,409328,403147,528,3024,10241,-1066,-12,94,22,29.125,0.06847856938838959,-0.37751370668411255,1.0543110370635986,-5.62093448638916,-0.6981917023658752,-0.18035364151000977,2.4397623538970947,0.8048800826072693,2.8123936653137207,1500,1500,1342,1500,2000,1000,1000,1000,1387,1515,1478,1636,1588,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,0.04896758496761322,0.24899309873580933,-0.25357821583747864,0.0029442263767123222,0.003377930261194706,-0.5469246506690979,0.0,0.0,-0.0029442263767123222,-0.003377930261194706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17530599236488342,-0.0,-0.0,-0.0,0.0,0.0,2.90238618850708,0.22975240647792816,0.6858295798301697,8.281455039978027,0.027735885232686996,-0.08257602155208588,0.0,0.0,0.007320644799619913,0.05893634259700775,0.03505653142929077,-0.023639678955078125,-0.15437433123588562,0.0004721647419501096,-5.386577686294913e-05,8.288862228393555,4.413760185241699,3.8751022815704346,1636.0,1588.0,0.0,1693895042,20283,940
827477062,2,320,27427,8712,409331873,409332,403151,526,-3362,6312,2610,-99,-415,344,29.109375,-0.0036644786596298218,0.39989760518074036,0.9591677188873291,-5.694068908691406,4.341400146484375,-8.636712074279785,2.6115076541900635,0.8278569579124451,2.7919602394104004,1500,1500,1342,1500,2000,1000,1000,1000,1387,1518,1511,1632,1592,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,0.06272532045841217,-0.22917990386486053,-0.28400883078575134,0.0031656245701014996,0.0036892443895339966,-0.5475621223449707,0.0,0.0,-0.0031656245701014996,-0.0036892443895339966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17530599236488342,-0.0,-0.0,-0.0,0.0,0.0,2.90238618850708,0.22826066613197327,0.7352925539016724,8.280829429626465,0.0275579746812582,-0.08854807913303375,0.0,0.0,-0.04552367329597473,0.059707678854465485,-0.01796569861471653,-0.028840400278568268,-0.15330445766448975,0.02261085994541645,-4.574278136715293e-05,8.285611152648926,4.371519565582275,3.9140915870666504,1632.0,1592.0,0.0,2039509089,20283,940
827477062,2,320,27428,8712,409335905,409336,403155,536,8938,10402,-1550,32,66,91,29.1875,0.05571304261684418,-0.4256540536880493,1.0405430793762207,-7.072909355163574,-0.889251708984375,-2.3717856407165527,2.507089376449585,0.8117297291755676,2.768584728240967,1500,1500,1342,1500,2000,1000,1000,1000,1387,1507,1476,1634,1590,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,0.02154204063117504,0.19274842739105225,-0.24189966917037964,0.003058797912672162,0.0030777810607105494,-0.5479784607887268,0.0,0.0,-0.003058797912672162,-0.0030777810607105494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1748315393924713,-0.0,-0.0,-0.0,0.0,0.0,2.901911735534668,0.23164501786231995,0.7037216424942017,8.281697273254395,0.0279634278267622,-0.08471084386110306,0.0,0.0,0.009323664009571075,0.07415834814310074,0.037287093698978424,-0.01055249571800232,-0.1520805060863495,0.006209320388734341,-5.105495802126825e-05,8.287919044494629,4.399234294891357,3.8886847496032715,1634.0,1590.0,0.0,3349506357,20283,940
827477062,2,320,27434,8717,409359166,409360,403178,528,12586,8619,164,96,-199,438,29.125,-0.047660764306783676,-0.022878974676132202,0.9556229114532471,-9.938092231750488,1.2728877067565918,-6.167213439941406,2.7230305671691895,0.850944459438324,2.671116828918457,1500,1500,1352,1500,2000,1000,1000,1000,1396,1493,1490,1641,1600,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,-0.021674294024705887,-0.16907581686973572,-0.25288307666778564,0.0030052228830754757,0.0045440406538546085,-0.5513262748718262,0.0,0.0,-0.0030052228830754757,-0.0045440406538546085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17304518818855286,-0.0,-0.0,-0.0,0.0,0.0,2.727525234222412,0.24209438264369965,0.7694392204284668,8.490184783935547,0.028506893664598465,-0.09036923199892044,0.0,0.0,-0.013018298894166946,0.10164058208465576,0.015488594770431519,0.011271350085735321,-0.14697711169719696,0.016145728528499603,-4.5790948206558824e-05,8.491743087768555,4.474826335906982,4.016916751861572,1641.0,1600.0,0.0,1446328271,20283,940
827477062,2,320,27435,8717,409363197,409364,403182,544,-14897,7998,-2057,-298,5,-28,29.25,0.0980292409658432,0.0832337737083435,1.067138671875,-2.4309239387512207,4.1168532371521,0.009966239333152771,2.513953685760498,0.8695350289344788,2.663351535797119,1500,1500,1354,1500,2000,1000,1000,1000,1397,1538,1508,1646,1600,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,0.04102279990911484,0.41011685132980347,-0.3548436462879181,0.0029185337480157614,0.0057213036343455315,-0.5519662499427795,0.0,0.0,-0.0029185337480157614,-0.0057213036343455315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17304518818855286,-0.0,-0.0,-0.0,0.0,0.0,2.693005084991455,0.24478718638420105,0.7218955755233765,8.532008171081543,0.028682585805654526,-0.08440189808607101,0.0,0.0,-0.0418982096016407,0.024740098044276237,-0.013215623795986176,-0.05966179817914963,-0.14657051861286163,-2.6091553081641905e-05,-5.130883073434234e-05,8.547962188720703,4.530525207519531,4.017436981201172,1646.0,1600.0,0.0,4226877643,20283,940
